# angle muX1 muX1_err sigmaX1 sigmaX1_err muY1 muY1_err sigmaY1 sigmaY1_err muX2 muX2_err sigmaX2 sigmaX2_err muY2 muY2_err sigmaY2 sigmaY2_err amp1 amp1_err amp2 amp2_err
0 430.242 0.348591 29.3744 0.249669 47.2363 0.305825 31.4802 0.188561 503.22 0.429202 41.0283 0.309824 35.5617 0.272877 30.6233 0.185368 7410 0.474434 7410 0.411849
15 472.693 0.666051 37.1838 0.485333 14.0571 0.197755 9.15002 0.15735 454.834 0.836607 52.5635 0.590956 58.6984 0.464998 24.8943 0.303587 1940 0.548635 1940 0.438276
30 463.742 0.195346 28.845 0.150428 27.6824 0.117206 17.1963 0.0865373 403.568 0.241367 35.6735 0.183293 74.0341 0.219735 33.3802 0.148092 1490 0.0359371 1490 0.0350164
45 426.368 0.160078 29.8436 0.117605 60.6992 0.137952 26.4179 0.0979042 354.203 0.1635 31.6458 0.111228 108.988 0.191465 37.9059 0.144675 2380 0.028949 2380 0.0272836
60 376.183 0.133799 38.5723 0.107699 98.7222 0.105519 30.6195 0.0724702 317.524 0.101486 29.7746 0.0692994 155.665 0.101081 29.1493 0.0818413 1030 0.00488401 1030 0.00537572
75 331.294 0.404689 31.7362 0.300445 153.561 0.368615 30.4686 0.264448 259.206 0.379415 31.6782 0.266394 193.376 0.494434 46.3717 0.352418 1550 0.10817 1550 0.10049
90 288.918 0.0498065 31.4088 0.0397222 192.667 0.0497161 32.1162 0.0365756 227.448 0.0468272 31.1431 0.0316207 224.961 0.0640852 46.5765 0.0456791 3070 0.00309344 3070 0.00300515
105 208.654 0.0941014 37.2793 0.0643716 262.004 0.0828956 32.359 0.0635498 241.066 0.111922 47.9002 0.0789734 204.138 0.0881572 33.906 0.0604628 900 0.00288681 900 0.00288919
120 203.037 0.571084 22.8513 0.447977 267.433 0.675423 25.8988 0.556774 178.09 0.959488 49.6735 0.689448 261.371 0.877418 52.1539 0.562846 2090 0.376787 2090 0.291582
135 192.297 0.704754 22.5486 0.611585 290.23 0.669202 21.1344 0.63144 185.399 1.073 51.8328 0.73915 260.997 1.1029 50.5657 0.751547 1010 0.412216 1010 0.29019
150 176.256 0.574154 44.3772 0.388604 317.351 0.547363 36.9806 0.45351 191.734 0.667206 53.037 0.452452 254.59 0.576382 32.5598 0.401366 2450 0.183902 2450 0.194717
165 71.8884 0.243745 33.678 0.127093 508.117 0.114518 15.4627 0.0881509 72.3353 0.243401 33.1479 0.126087 496.136 0.231095 43.1701 0.160631 22430 0.570602 22430 0.579927
