# angle A A_err mu_x mu_x_err sigma_x sigma_x_err alpha_x alpha_x_err n_x n_x_err mu_y mu_y_err sigma_y sigma_y_err alpha_y alpha_y_err n_y n_y_err B B_err C C_err D D_err E_sum E_sum_err deviation chi2 reduced_chi2
0 5273.091649 2149.196869 434.992093 0.016149 0.013877 0.013491 1.433808 8.193208 10.336864 31.109972 57.186821 5.081450 12.722158 2.990722 0.010001 0.012657 4.351105 5.806343 426.005955 2.433042 -0.546697 0.004609 -0.934869 0.018299 492.178914 5.081475 -18.821086 5807.798793 26.519629
15 444.128613 0.000000 425.065215 0.000000 0.078743 0.000000 7.756467 0.000000 27.656706 0.000000 40.428702 0.000000 23.804893 0.000000 7.756468 0.000000 27.655440 0.000000 97.760908 0.000000 -0.137207 0.000000 -0.187242 0.000000 465.493917 0.000000 -45.506083 2513.514585 11.745395
30 76.984934 0.000000 357.060550 0.000000 28.221088 0.000000 0.073195 0.000000 48.868271 0.000000 -4038.032967 0.000000 52.818524 0.000000 9.998958 0.000000 15.035713 0.000000 63.748012 0.000000 -0.074666 0.000000 -0.153102 0.000000 -3680.972417 0.000000 -4191.972417 4305.505050 16.370742
